id,state,Cat0,Cat1,Cat2,Cat3,Cat4,Cat5,Cat6,Cat7,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
881,UT,0,1,1,0,0,1,0,0,85,510,0,0,0,212.3,107,36.09,228.4,103,19.41,163.3,116,7.35,7.7,3,2.08,0,0
12,MT,0,0,0,1,1,0,0,0,95,510,0,0,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,0
4118,SD,1,1,0,0,0,0,0,1,52,408,0,0,0,165.8,94,28.19,192.8,135,16.39,247.8,64,11.15,12.4,7,3.35,3,0
443,OK,1,1,1,0,0,0,0,0,125,415,0,1,36,201.3,117,34.22,42.2,78,17.06,125.7,104,5.66,5.4,3,1.46,1,0
270,VA,0,1,1,0,0,0,1,0,129,408,0,0,0,207,91,35.19,154.9,121,13.17,245.1,112,11.03,13.4,5,3.62,3,0
3990,ME,0,0,1,1,0,0,0,0,157,408,0,1,27,201.4,85,34.24,101.3,60,8.61,258.5,113,11.63,11.9,5,3.21,2,0
2504,NM,0,0,0,0,1,0,0,1,112,415,0,0,0,81.6,94,13.87,268.1,112,22.79,140.8,75,6.34,8.6,4,2.32,1,0
2117,OH,0,0,0,0,0,0,1,1,94,415,0,0,0,181.3,135,30.82,182.4,108,15.5,180.6,103,8.13,6.7,2,1.81,0,0
3612,MN,0,0,1,0,0,1,0,0,56,415,0,0,0,222.9,100,37.89,145.2,110,12.34,170.6,129,7.68,5.6,8,1.51,1,0
801,NV,0,0,0,0,0,1,1,0,144,415,1,0,0,150,69,25.5,285.9,73,24.3,190.6,121,8.58,9.4,4,2.54,0,0
1114,MT,0,0,0,1,1,0,0,0,10,510,0,0,0,183,103,31.11,214.8,77,18.26,206.4,73,9.29,8.7,6,2.35,2,0
474,FL,1,0,1,0,0,0,0,0,64,408,0,1,31,228.6,88,38.86,248.5,109,21.12,167.1,124,7.52,9,1,2.43,3,0
3250,OH,0,0,0,0,0,0,1,1,78,415,0,1,27,121.9,88,20.72,225.4,75,19.16,90.8,118,4.09,13,4,3.51,3,0
482,NM,0,0,0,0,1,0,0,1,104,415,0,0,0,164.2,109,27.91,155.4,90,13.21,168.9,117,7.6,10.7,8,2.89,1,0
1929,GA,1,0,0,1,0,0,0,0,18,408,0,0,0,197,97,33.49,203.7,107,17.31,202,105,9.09,8.7,3,2.35,3,0
272,AL,0,1,0,0,0,0,0,0,121,408,0,1,35,68.7,95,11.68,209.2,69,17.78,197.4,100,8.88,11.4,4,3.08,1,0
2728,NC,0,0,0,1,0,1,0,0,104,415,0,1,18,182.1,66,30.96,213.6,65,18.16,193,108,8.69,13.4,9,3.62,2,0
1629,HI,1,0,0,0,1,0,0,0,134,408,0,0,0,242.4,126,41.21,152.9,115,13,318.3,115,14.32,11.8,6,3.19,1,0
3488,MI,0,0,1,0,1,0,0,0,102,408,0,0,0,167.1,80,28.41,222.9,94,18.95,179.9,103,8.1,11.6,3,3.13,5,0
2537,VA,0,1,1,0,0,0,1,0,113,408,0,1,34,44.9,63,7.63,134.2,82,11.41,168.4,118,7.58,13.3,3,3.59,1,0
120,VT,0,1,1,0,0,0,0,1,103,510,0,0,0,246.5,100,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1,0
1536,OH,0,0,0,0,0,0,1,1,127,408,0,0,0,139.6,94,23.73,240.9,112,20.48,127.1,88,5.72,8.8,4,2.38,2,0
2224,UT,0,1,1,0,0,1,0,0,134,415,0,0,0,258.8,85,44,129.5,114,11.01,193.6,106,8.71,10.9,7,2.94,2,0
3510,KY,0,1,0,0,1,0,0,0,102,415,1,0,0,209.8,85,35.67,165.7,100,14.08,230.1,92,10.35,8.7,6,2.35,0,0
1942,OR,1,1,0,1,0,0,0,0,80,415,0,0,0,113.2,86,19.24,185.5,97,15.77,237.3,145,10.68,9.5,5,2.57,1,0
1946,PA,1,1,0,0,1,0,0,0,114,415,0,0,0,155.3,75,26.4,169.9,87,14.44,207,133,9.32,12.6,5,3.4,2,0
2559,NH,0,0,0,0,1,1,0,0,123,415,0,1,22,197.6,105,33.59,80,86,6.8,120.8,82,5.44,15.6,4,4.21,2,0
2387,NM,0,0,0,0,1,0,0,1,147,408,1,0,0,183.8,113,31.25,164.7,110,14,111,87,5,10.1,4,2.73,1,0
2351,VT,0,1,1,0,0,0,0,1,68,415,0,0,0,158.8,119,27,211.8,105,18,198.1,101,8.91,10.3,3,2.78,1,0
729,NV,0,0,0,0,0,1,1,0,86,510,0,0,0,141.3,72,24.02,154.3,95,13.12,210.6,91,9.48,8.2,5,2.21,1,0
8,WV,0,0,1,1,0,0,1,0,141,415,1,1,37,258.6,84,43.96,222,111,18.87,326.4,97,14.69,11.2,5,3.02,0,0
